YEAR,Region,Month,Precipitation
1838,Connecticut River,JAN,2.45
1838,Connecticut River,FEB,1.67
1838,Connecticut River,MAR,1.69
1838,Connecticut River,APR,2.02
1838,Connecticut River,MAY,3.63
1838,Connecticut River,JUN,4.9
1838,Connecticut River,JUL,2.27
1838,Connecticut River,AUG,3.95
1838,Connecticut River,SEP,6.38
1838,Connecticut River,OCT,4.12
1838,Connecticut River,NOV,5.77
1838,Connecticut River,DEC,0.96
1839,Connecticut River,JAN,1.66
1839,Connecticut River,FEB,1.75
1839,Connecticut River,MAR,1.69
1839,Connecticut River,APR,4.14
1839,Connecticut River,MAY,3.49
1839,Connecticut River,JUN,3.3
1839,Connecticut River,JUL,9.56
1839,Connecticut River,AUG,2.51
1839,Connecticut River,SEP,2.82
1839,Connecticut River,OCT,1.78
1839,Connecticut River,NOV,3.04
1839,Connecticut River,DEC,7.09
1840,Connecticut River,JAN,3.15
1840,Connecticut River,FEB,2.03
1840,Connecticut River,MAR,3.18
1840,Connecticut River,APR,3.98
1840,Connecticut River,MAY,1.91
1840,Connecticut River,JUN,4.6
1840,Connecticut River,JUL,3.34
1840,Connecticut River,AUG,6.82
1840,Connecticut River,SEP,5.2
1840,Connecticut River,OCT,5.04
1840,Connecticut River,NOV,4.61
1840,Connecticut River,DEC,3.15
1841,Connecticut River,JAN,5.8
1841,Connecticut River,FEB,1.5
1841,Connecticut River,MAR,2.85
1841,Connecticut River,APR,4.52
1841,Connecticut River,MAY,3.47
1841,Connecticut River,JUN,1.65
1841,Connecticut River,JUL,2.55
1841,Connecticut River,AUG,3.18
1841,Connecticut River,SEP,3.5
1841,Connecticut River,OCT,3.73
1841,Connecticut River,NOV,2.8
1841,Connecticut River,DEC,6.08
1842,Connecticut River,JAN,1.02
1842,Connecticut River,FEB,3.78
1842,Connecticut River,MAR,2.39
1842,Connecticut River,APR,2.92
1842,Connecticut River,MAY,2.4
1842,Connecticut River,JUN,3.18
1842,Connecticut River,JUL,1.95
1842,Connecticut River,AUG,7.42
1842,Connecticut River,SEP,3.23
1842,Connecticut River,OCT,2.84
1842,Connecticut River,NOV,3.73
1842,Connecticut River,DEC,3.19
1843,Connecticut River,JAN,1.99
1843,Connecticut River,FEB,3.49
1843,Connecticut River,MAR,5.73
1843,Connecticut River,APR,4.82
1843,Connecticut River,MAY,2.09
1843,Connecticut River,JUN,5.18
1843,Connecticut River,JUL,2.53
1843,Connecticut River,AUG,9.38
1843,Connecticut River,SEP,1.57
1843,Connecticut River,OCT,9.45
1843,Connecticut River,NOV,3.07
1843,Connecticut River,DEC,2.28
1844,Connecticut River,JAN,3.44
1844,Connecticut River,FEB,2.18
1844,Connecticut River,MAR,4.12
1844,Connecticut River,APR,0.57
1844,Connecticut River,MAY,5.59
1844,Connecticut River,JUN,3
1844,Connecticut River,JUL,3.81
1844,Connecticut River,AUG,4.93
1844,Connecticut River,SEP,1.84
1844,Connecticut River,OCT,6.49
1844,Connecticut River,NOV,2.12
1844,Connecticut River,DEC,2.49
1845,Connecticut River,JAN,4.97
1845,Connecticut River,FEB,3.37
1845,Connecticut River,MAR,3.56
1845,Connecticut River,APR,1.7
1845,Connecticut River,MAY,2.42
1845,Connecticut River,JUN,2.57
1845,Connecticut River,JUL,3.31
1845,Connecticut River,AUG,2.79
1845,Connecticut River,SEP,2.58
1845,Connecticut River,OCT,4.66
1845,Connecticut River,NOV,3.9
1845,Connecticut River,DEC,3.91
1846,Connecticut River,JAN,2.74
1846,Connecticut River,FEB,2.55
1846,Connecticut River,MAR,4.35
1846,Connecticut River,APR,1.54
1846,Connecticut River,MAY,4.33
1846,Connecticut River,JUN,3.1
1846,Connecticut River,JUL,3.25
1846,Connecticut River,AUG,2.44
1846,Connecticut River,SEP,0.47
1846,Connecticut River,OCT,2.09
1846,Connecticut River,NOV,4.96
1846,Connecticut River,DEC,3.1
1847,Connecticut River,JAN,4.86
1847,Connecticut River,FEB,4.88
1847,Connecticut River,MAR,3.57
1847,Connecticut River,APR,1.41
1847,Connecticut River,MAY,1.91
1847,Connecticut River,JUN,4.44
1847,Connecticut River,JUL,4.48
1847,Connecticut River,AUG,4.06
1847,Connecticut River,SEP,3.63
1847,Connecticut River,OCT,3.99
1847,Connecticut River,NOV,4.17
1847,Connecticut River,DEC,6.41
1848,Connecticut River,JAN,2.92
1848,Connecticut River,FEB,2.6
1848,Connecticut River,MAR,3.03
1848,Connecticut River,APR,1.55
1848,Connecticut River,MAY,6.18
1848,Connecticut River,JUN,2.58
1848,Connecticut River,JUL,4.72
1848,Connecticut River,AUG,1.53
1848,Connecticut River,SEP,2.49
1848,Connecticut River,OCT,3.15
1848,Connecticut River,NOV,3.09
1848,Connecticut River,DEC,5.54
1849,Connecticut River,JAN,0.99
1849,Connecticut River,FEB,0.99
1849,Connecticut River,MAR,4.21
1849,Connecticut River,APR,2.24
1849,Connecticut River,MAY,3.61
1849,Connecticut River,JUN,1.53
1849,Connecticut River,JUL,2.25
1849,Connecticut River,AUG,7.86
1849,Connecticut River,SEP,1.4
1849,Connecticut River,OCT,6.36
1849,Connecticut River,NOV,3.65
1849,Connecticut River,DEC,3.36
1850,Connecticut River,JAN,4.75
1850,Connecticut River,FEB,3.56
1850,Connecticut River,MAR,1.86
1850,Connecticut River,APR,3.93
1850,Connecticut River,MAY,8.72
1850,Connecticut River,JUN,2.88
1850,Connecticut River,JUL,6.81
1850,Connecticut River,AUG,6.5
1850,Connecticut River,SEP,4.93
1850,Connecticut River,OCT,3.65
1850,Connecticut River,NOV,2.63
1850,Connecticut River,DEC,5.37
1851,Connecticut River,JAN,1.66
1851,Connecticut River,FEB,5.08
1851,Connecticut River,MAR,1.28
1851,Connecticut River,APR,4.43
1851,Connecticut River,MAY,4.07
1851,Connecticut River,JUN,3.69
1851,Connecticut River,JUL,4.31
1851,Connecticut River,AUG,3.03
1851,Connecticut River,SEP,2.05
1851,Connecticut River,OCT,5.43
1851,Connecticut River,NOV,5.3
1851,Connecticut River,DEC,3.17
1852,Connecticut River,JAN,2.42
